Rule, returnable forthwith.	None
facts and, therefore, the reopening of the assessment beyond the period of four years is bad in law.	RatioOfTheDecision
If there is no failure on the part of the assessee to disclose fully and truly all material facts, then, under proviso to Section 147 of the Act, the assessment cannot be reopened beyond the period of four years.	RatioOfTheDecision
The petitioner has rightly relied upon the judgment of this Court in the case of Hindustan Lever Limited v. R.B. Wadkar 2004 (3) Mh.	PrecedentReliedUpon
L.J. 517 wherein this Court has held as under : It is for the AO to reach to the conclusion as to whether there was failure on the part of the assessee to disclose fully and truly all material facts necessary for his assessment for the concerned assessment year.	PrecedentReliedUpon
It is for the AO to form his opinion.	PrecedentReliedUpon
It is for him to put his opinion on record in black and white.	PrecedentReliedUpon
The reasons recorded should be clear and unambiguous and should not suffer from any vagueness.	PrecedentReliedUpon
The reasons recorded must disclose his mind.	PrecedentReliedUpon
Reasons are the manifestation of mind of the AO.	PrecedentReliedUpon
The reasons recorded should be self-explanatory and should not keep the assessee guessing for the reasons.	PrecedentReliedUpon
Reasons provide link between conclusion and evidence.	PrecedentReliedUpon
The reasons recorded must be based on evidence.	PrecedentReliedUpon
The AO, in the event of challenge to the reasons, must be able to justify the same based on material available on record.	PrecedentReliedUpon
He must disclose in the reasons as to which fact or material was not disclosed by the assessee fully and truly necessary for assessment of that assessment year, so as to establish vital link between the reasons and evidence.	PrecedentReliedUpon
That vital link is the safeguard against arbitrary reopening of the concluded assessment.	PrecedentReliedUpon
The reasons recorded by the AO cannot be supplemented by filing affidavit or making oral submission, otherwise, the reasons which were lacking in the material particulars would get supplemented, by the time the matter reaches to the Court, on the strength of affidavit or oral submissions advanced.	PrecedentReliedUpon
Impugned notice quashed.	RulingByPresentCourt
(Emphasis, italicised in print, supplied) The aforesaid observations of this Court while interpreting the proviso to Section 147 of the Act are fully applicable to the case at hand.	RulingByPresentCourt
The impugned notice is admittedly beyond the period of limitation prescribed under the proviso to Section 147 of the Act and in the absence of any material to show that there was failure on the part of the assessee to disclose fully and truly all materials, such notice must be held to be barred by limitation.	RatioOfTheDecision
The same is, therefore, liable to be quashed and set aside.	RulingByPresentCourt
On this ground alone the petition succeeds.	RulingByPresentCourt
Since the petitioner is entitled to succeed on this ground alone, the other contentions raised by the petitioner need no consideration.	RulingByPresentCourt
In the result, the impugned notice dt.	RulingByPresentCourt
31st March, 2005 issued under Section 148 of the Act is quashed and set aside.	RulingByPresentCourt
Petition is allowed.	RulingByPresentCourt
Rule made absolute in terms of prayer Clause (a) with no order as to costs.	RulingByPresentCourt
