I. Rebello, J. Page 1108 Admit on the question of law reproduced below.	None
Provided that where an assessment under Sub-section (3) of Section 16 or this section has been made for the relevant assessment year, no action shall be taken under this section after the expiry of four years from the end of the relevant assessment year, unless any net wealth chargeable to tax has escaped assessment for such assessment year by reason of the 7 failure on the part of the assessee to make a return under Section 16 or this section or to disclose fully and truly all material facts necessary for his assessment for that assessment year.	Statute
The crucial words are and the provision of this Act shall so far as may be apply as if the return were a return required to be furnished under Section 14.	RatioOfTheDecision
Would these words as far as may be mean thereby that Section 17 is the assessing section and for that purpose the provisions of Section 14 to 16 to the extent they are applicable only would apply.	Issue
In other words does Section 17 confer power on the Assessing Officer in case where Section 17 is invoked to independently make an order of assessment in a case where a return is filed under Section 14 after notice and after the period of twelve months have expired from the date of filing the return.	Issue
Section 16(2) reads as under: Where a return has been made under Section 14 or Section 15, or in response to a notice under Clause (i) of Sub-section (4) of this section the Assessing Officer shall, if he considers it necessary or expedient to ensure that the assessee has not understated the net wealth or has not underpaid the tax 8 in any manner, serve on the assessee a notice requiring him, on a date to be specified therein, either to attend at the office of the Assessing Officer or to produce, or cause to be produced there, any evidence on which the assessee may rely in support of the return.	Statute
Provided that no notice under this sub section shall be served on the assessee after the expiry of twelve months from the end of the month in which the return is furnished.	Statute
Page 1111 Section 16, therefore, requires that if a return has been made under Section 14 or 15, if the assessing officer considers it necessary or expedient, to ensure that the assessee has not understated the net wealth or has not underpaid the tax in any manner, to serve on the assessee a notice requiring him, on a date to be specified therein either to attend the office of the Assessing Officer or to produce, or cause to be produced there, any evidence on which the assessee may rely in support of the return.	Statute
The proviso lays down a timeframe for serving the notice under Section 16(2).	Statute
In other words, if the period of twelve months have expired from the date of filing the return, the A.O. is precluded from serving notice under Section 16(2) and the return filed will have to be accepted.	Statute
We may now gainfully reproduce Section 16(5) for the purpose of our discussion and it reads as under: If any person,- (a) fails to make the return required under Sub-section (1) of Section 14 and has not made a return or a revised return under Section 15, or (b) fails to comply with all the terms of a notice issued under Sub-section (2) or Sub-section (4), the Assessing Officer, after taking into account, all relevant material which he has gathered, shall, after giving such person an opportunity of being heard, estimate the net wealth to the best of his judgment and determine the sum payable by the person on the basis of such assessment Provided that such opportunity shall be given by the Assessing Officer by serving a notice calling upon the person to show cause, on a date and time to be specified in the notice, why the assessment should not be completed to the best of his judgment.	Statute
This sub section therefore, will confer a power on the Assessing officer in case of failure to file 10 return under Section 14 or revised return under Section 15 or to comply with the terms of a notice under Section 16(2) to make a best judgment assessment.	Statute
Section 17A provides a time limit for making an order of assessment both under Section 16 and Section 17.	Statute
The normal period for assessment under Section 16 is two years from the end of the assessment year in which the net wealth was first assessable and for an assessment under Section 17 within two years from the end of the financial year in which the notice under Sub-section (1) of Section 17 was served.	Statute
Section 17 can be invoked when the Assessing Officer has reason to believe that the net wealth chargeable to tax in respect of an assessee has escaped assessment for any assessment year for the reasons set out therein.	Statute
The A.O. may serve on such person a notice.	Statute
If on the notice being served the assessee fails to file a return, there is no independent provision in Section 17 to make a best judgment assessment like in Section 16(5).	Statute
The language used in fact is that the A.O. may proceed to assess or reassess such net wealth.	Statute
If the argument of the Revenue has to be accepted, it must mean that once Section 17 has been invoked and the notice served on the assessee and the assessee either does not furnish the return in the prescribed form, then the A.O. is empowered to proceed to 11 assess or reassess such net wealth and also any other net wealth chargeable to tax in respect of which such person is assessable irrespective of the requirement of Section 16(2), under Section 17 itself.	RatioOfTheDecision
This submission if accepted must Page 1112 lead to the conclusion that Section 17 is a self contained code for assessment of wealth tax which has escaped assessment.	RatioOfTheDecision
In that event, will not the expression the provisions of the Act shall, so far as may be, apply as if the return were a return required to be furnished under Section 14, be defeated.	RatioOfTheDecision
The Assessing Officer may be satisfied with the return deemed to be filed under Section 14 and choose not to proceed further.	RatioOfTheDecision
In such a case we shall have to read Section 16(5) into a case of re-assessment under Section 17.	RatioOfTheDecision
What would happen in the case where the Assessing Officer is not satisfied with the return and wants to proceed to reassess.	RatioOfTheDecision
Firstly is there a power outside Section 16 to pass an order of assessment and or re-assessment.	RatioOfTheDecision
Secondly in such cases, is there a limitation for issuing notice of assessment or reassessment if the A.O. is not satisfied with the return filed or is there no such limitation as set out in the proviso to Section 16(2) and it would wholly lie within the discretion of the Assessing Officer to proceed to reassess in a case where the A.O. is of the belief that the income has accepted assessment except as to the time limit as set out in Section 17A. Section 17A applies to both assessment and reassessment under Section 16 and 17.	RatioOfTheDecision
In our opinion, this would defeat the scheme of the chapter.	RatioOfTheDecision
Section 17 only use the expression assess or re-assess, however, the expression as contained in Section 16(3) namely order in writing is missing.	RatioOfTheDecision
Even if we assume considering the first proviso to Section 17 that the assessment is under Section 17, in issuing notice if dissatisfied with the return filed, the proviso to Section 16(2) would be applicable.	RatioOfTheDecision
The effect of accepting the argument of Revenue would be that in so far as the assessment under Section 16, if the A.O. in order that the assessee has not understated the net wealth or has underpaid tax in issuing notice, there is time limit, in so far as Section 17, there is no such limitation once jurisdiction is invoked under Section 17.	RatioOfTheDecision
Further the expression as far as may be in the context of the returns being treated as a return under Section 17 would be rendered meaningless.	RatioOfTheDecision
In our opinion, it will not be possible to construe the provisions as are sought to be contended on behalf of the revenue.	RatioOfTheDecision
All the provisions of Chapter IV will have to be read in tandem so as to bring about an uniformity and certainty to an order of assessment.	RatioOfTheDecision
Proviso to Section 16(2) is in the nature of an embargo on the Assessing Officer, if the period has expired not to issue notice after that period.	RatioOfTheDecision
In other words, the Assessing Officer is bound to accept the return as filed.	RatioOfTheDecision
Though the notice under Section 16(2) may be procedural, the proviso is not merely procedural but is in the nature of a limitation on the power of the Assessing Officer not to proceed further in a case where return has been filed under Section 14 or under Section 15.	RatioOfTheDecision
That will have to read as applicable to a case of re-assessment under Section 17.	RatioOfTheDecision
Let us now examine Sections 143 and 148 of the provisions of the Income Tax Act, where similar language had been employed.	Statute
Under Section 143(2)(ii) there is a limitation on the A.O. not to issue notice if the period of twelve months had expired.	Statute
Section 148 of the I.T. Act had come up for consideration before several High Courts.	Statute
A learned Bench of the Madras High Court in Page 1113 Commissioner of Income Tax v. M. Chellappan and Anr.	PrecedentReliedUpon
had occasion to consider the provision.	PrecedentReliedUpon
The Assessing Officer proceeded to reassess under Section 147 of the I.T. Act and completed the assessment without issuing notice under Section 143(2) within the time stipulated.	PrecedentReliedUpon
The order was confirmed in appeal.	PrecedentReliedUpon
The Tribunal had set aside the order on the ground that notice under Section 143(2) was not served on the assessee within the stipulated period.	PrecedentReliedUpon
The learned Bench of the Madras High Court held that as the notice under Section 143(2) was not served within the stipulated period, the procedure under Section 143 came to an end and the matter attained finality.	PrecedentReliedUpon
Similarly is the judgment of Gauhati High Court in Smt.	PrecedentReliedUpon
Bandana Gogoi v. Commissioner of Income Tax and Anr.	PrecedentReliedUpon
which also dealt with an issue of reassessment under Section 147.	PrecedentReliedUpon
That was a case of Block assessment.	PrecedentReliedUpon
It was found that notice under Section 143(2) was not issued.	PrecedentReliedUpon
The learned Bench came to the conclusion that requirement of Section 143(2) cannot be dispensed with as it is mandatory.	PrecedentReliedUpon
Parliament subsequently by Finance Act 2006, with effect from 1.10.1991 introduced the second proviso to Section 148 saving proceedings where return had been filed pursuant to proceedings under Section 147 and no notice had been served under Section 143(2) within the period prescribed by the proviso to Section 143(2).	Fact
The language used in Section 143(2) is similar to the language used in Section 16(2).	Fact
Parliament in the case of I.T. Act under Section 148 noting, the omission in the section which was likely to affect assessments done, pursuant to powers conferred under Section 147, inserted the proviso to Section 148 to protect the assessments already done.	Fact
It is true that merely because Parliament has as a matter of abundant caution intervened and amended the provisions of Section 148 cannot be read to mean that there is a lacunae.	RatioOfTheDecision
Two High Courts, Madras and Gauhati, have taken a view that notice under Section 143(2) is mandatory even in a case of re-opening of assessment under Section 148 of the I.T. Act.	RatioOfTheDecision
In our opinion, the view taken by the two High Courts reflects the language of Section 147.	RatioOfTheDecision
Therefore, even in a case of re-opening of assessment under Section 147, the A.O. is bound to comply with the requirement of Section 143(2) of the I.T. Act.	RatioOfTheDecision
Even independently, we have examined the scope and effect of Sections 14 to 16 on the one hand and Section 17 on the other.	RatioOfTheDecision
In our opinion, there is no escape from arriving at the conclusion that when the Assessing Officer invokes Section 17, the provision of Section 14 and 16 to the extent applicable, for the purpose of making an order of reassessment will have to be followed which will include the time limit for notice under Section 16(2).	RatioOfTheDecision
Once the language of Section 17 itself requires that other provisions to the extent applicable would apply considering the return as filed under Section 14, it contemplates that both procedural and substantive provisions will apply.	RatioOfTheDecision
In our opinion, therefore, while invoking powers under Section 17, the Assessing Officer is bound by the mandate of the proviso to Section 16(2) and on failure the order of reassessment will be without Page 1114 jurisdiction and consequently the order of reassessment will have to be set aside.	RatioOfTheDecision
Having said so, we are clearly of the opinion that no error of law can be found with the view taken by the tribunal.	RulingByPresentCourt
Consequently the appeal is dismissed.	RulingByPresentCourt
